ObjectId;Year;Date;Value
1;1958;1958M03;315.7
2;1958;1958M04;317.45
3;1958;1958M05;317.51
4;1958;1958M06;317.24
5;1958;1958M07;315.86
6;1958;1958M08;314.93
7;1958;1958M09;313.2
8;1958;1958M10;312.43
9;1958;1958M11;313.33
10;1958;1958M12;314.67
11;1959;1959M01;315.58
12;1959;1959M02;316.48
13;1959;1959M03;316.65
15;1959;1959M04;317.72
17;1959;1959M05;318.29
19;1959;1959M06;318.15
21;1959;1959M07;316.54
23;1959;1959M08;314.8
25;1959;1959M09;313.84
27;1959;1959M10;313.33
29;1959;1959M11;314.81
31;1959;1959M12;315.58
33;1960;1960M01;316.43
35;1960;1960M02;316.98
37;1960;1960M03;317.58
39;1960;1960M04;319.03
41;1960;1960M05;320.04
43;1960;1960M06;319.59
45;1960;1960M07;318.18
47;1960;1960M08;315.9
49;1960;1960M09;314.17
51;1960;1960M10;313.83
53;1960;1960M11;315
55;1960;1960M12;316.19
57;1961;1961M01;316.89
59;1961;1961M02;317.7
61;1961;1961M03;318.54
63;1961;1961M04;319.48
65;1961;1961M05;320.58
67;1961;1961M06;319.77
69;1961;1961M07;318.57
71;1961;1961M08;316.79
73;1961;1961M09;314.99
75;1961;1961M10;315.31
77;1961;1961M11;316.1
79;1961;1961M12;317.01
81;1962;1962M01;317.94
83;1962;1962M02;318.55
85;1962;1962M03;319.68
87;1962;1962M04;320.57
89;1962;1962M05;321.02
91;1962;1962M06;320.62
93;1962;1962M07;319.61
95;1962;1962M08;317.4
97;1962;1962M09;316.25
99;1962;1962M10;315.42
101;1962;1962M11;316.69
103;1962;1962M12;317.7
105;1963;1963M01;318.74
107;1963;1963M02;319.07
109;1963;1963M03;319.86
111;1963;1963M04;321.38
113;1963;1963M05;322.25
115;1963;1963M06;321.48
117;1963;1963M07;319.74
119;1963;1963M08;317.77
121;1963;1963M09;316.21
123;1963;1963M10;315.99
125;1963;1963M11;317.07
127;1963;1963M12;318.35
129;1964;1964M01;319.57
131;1964;1964M02;320.01
133;1964;1964M03;320.74
135;1964;1964M04;321.84
137;1964;1964M05;322.26
139;1964;1964M06;321.89
141;1964;1964M07;320.44
143;1964;1964M08;318.69
145;1964;1964M09;316.7
147;1964;1964M10;316.87
149;1964;1964M11;317.68
151;1964;1964M12;318.71
153;1965;1965M01;319.44
155;1965;1965M02;320.44
157;1965;1965M03;320.89
159;1965;1965M04;322.14
161;1965;1965M05;322.17
163;1965;1965M06;321.87
165;1965;1965M07;321.21
167;1965;1965M08;318.87
169;1965;1965M09;317.81
171;1965;1965M10;317.3
173;1965;1965M11;318.87
175;1965;1965M12;319.42
177;1966;1966M01;320.62
179;1966;1966M02;321.6
181;1966;1966M03;322.39
183;1966;1966M04;323.7
185;1966;1966M05;324.08
187;1966;1966M06;323.75
189;1966;1966M07;322.38
191;1966;1966M08;320.36
193;1966;1966M09;318.64
195;1966;1966M10;318.1
197;1966;1966M11;319.78
199;1966;1966M12;321.03
201;1967;1967M01;322.33
203;1967;1967M02;322.5
205;1967;1967M03;323.04
207;1967;1967M04;324.42
209;1967;1967M05;325
211;1967;1967M06;324.09
213;1967;1967M07;322.54
215;1967;1967M08;320.92
217;1967;1967M09;319.25
219;1967;1967M10;319.39
221;1967;1967M11;320.73
223;1967;1967M12;321.96
225;1968;1968M01;322.57
227;1968;1968M02;323.15
229;1968;1968M03;323.89
231;1968;1968M04;325.02
233;1968;1968M05;325.57
235;1968;1968M06;325.36
237;1968;1968M07;324.14
239;1968;1968M08;322.11
241;1968;1968M09;320.33
243;1968;1968M10;320.25
245;1968;1968M11;321.32
247;1968;1968M12;322.89
249;1969;1969M01;324
251;1969;1969M02;324.42
253;1969;1969M03;325.63
255;1969;1969M04;326.66
257;1969;1969M05;327.38
259;1969;1969M06;326.71
261;1969;1969M07;325.88
263;1969;1969M08;323.66
265;1969;1969M09;322.38
267;1969;1969M10;321.78
269;1969;1969M11;322.86
271;1969;1969M12;324.12
273;1970;1970M01;325.06
275;1970;1970M02;325.98
277;1970;1970M03;326.93
279;1970;1970M04;328.13
281;1970;1970M05;328.08
283;1970;1970M06;327.67
285;1970;1970M07;326.34
287;1970;1970M08;324.69
289;1970;1970M09;323.1
291;1970;1970M10;323.06
293;1970;1970M11;324.01
295;1970;1970M12;325.13
297;1971;1971M01;326.17
299;1971;1971M02;326.68
301;1971;1971M03;327.17
303;1971;1971M04;327.79
305;1971;1971M05;328.93
307;1971;1971M06;328.57
309;1971;1971M07;327.36
311;1971;1971M08;325.43
313;1971;1971M09;323.36
315;1971;1971M10;323.56
317;1971;1971M11;324.8
319;1971;1971M12;326.01
321;1972;1972M01;326.77
323;1972;1972M02;327.63
325;1972;1972M03;327.75
327;1972;1972M04;329.72
329;1972;1972M05;330.07
331;1972;1972M06;329.09
333;1972;1972M07;328.04
335;1972;1972M08;326.32
337;1972;1972M09;324.84
339;1972;1972M10;325.2
341;1972;1972M11;326.5
343;1972;1972M12;327.55
345;1973;1973M01;328.55
347;1973;1973M02;329.56
349;1973;1973M03;330.3
351;1973;1973M04;331.5
353;1973;1973M05;332.48
355;1973;1973M06;332.07
